scenario_id,date,year,month,season,region,grade,dryer_access_profile,harvest_fresh_kg,moisture_pct_est,fresh_to_dried_conversion_ratio_est,current_fresh_price_lkr_per_kg,current_dried_price_lkr_per_kg,drying_cost_total_lkr,storage_weeks,storage_cost_total_lkr,quality_loss_pct_est,usd_lkr_rate_est,diesel_price_lkr_litre_est,kerosene_price_lkr_litre_est,labour_cost_lkr_day_est,production_supply_index_est,global_export_demand_index_est
SCN-000015,1/1/2018,2018,1,main_harvest,Matale,LB,low_cost_owned_dryer,304.7,72.4,4.72,201.96,1908.44,24733.93,8,20373.11,1.369216216,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000016,1/1/2018,2018,1,main_harvest,Matale,LB,high_cost_rented_dryer,251.8,66.4,4.13,292.67,1908.44,37965.2,4,6721.37,4.412456072,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000017,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LG,average_shared_dryer,76.2,68.9,4.14,417.21,3282.13,11382.81,6,2698.6,2.990677576,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000018,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LG,average_shared_dryer,428.1,70.1,4.22,469.43,3282.13,67081.05,4,13427.01,3.062642609,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000019,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,average_shared_dryer,204.7,64.9,4.15,426.32,2757.64,30782.82,4,7686.69,2.797235892,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000020,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,average_shared_dryer,447.6,56.9,3.77,436.97,2757.64,58234.66,6,30809.54,2.706441524,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000021,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,average_shared_dryer,342,76.2,4.63,374.71,2324.33,37486.03,4,15821.51,2.122017362,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000022,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,high_cost_rented_dryer,220.4,55,3.7,362.54,2324.33,33601.43,5,10348.58,4.298642925,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000023,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LB,low_cost_owned_dryer,69.9,71.1,4.63,284.47,1908.11,6630.34,8,5071.85,3.050243922,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000024,1/1/2018,2018,1,main_harvest,Nuwara Eliya,LB,high_cost_rented_dryer,413.2,70.8,4.75,260.81,1908.11,57182.31,5,12753.72,0.2,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000025,1/1/2018,2018,1,main_harvest,Badulla,LG,high_cost_rented_dryer,66.8,69,4.03,389.43,2907.62,10727.41,8,4303.19,1.942953501,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000026,1/1/2018,2018,1,main_harvest,Badulla,LG,low_cost_owned_dryer,41.8,74.6,4.3,362.48,2907.62,5105.19,8,1971.16,2.046524838,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000027,1/1/2018,2018,1,main_harvest,Badulla,LLG1,average_shared_dryer,175.7,69.9,4.4,332.15,2642.45,30664.05,4,4000.28,2.69938477,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000028,1/1/2018,2018,1,main_harvest,Badulla,LLG1,low_cost_owned_dryer,135.2,72.9,4.64,303.61,2642.45,19558.26,3,2715.42,1.498183774,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000029,1/1/2018,2018,1,main_harvest,Badulla,LLG2,average_shared_dryer,736.6,60.8,3.79,290.07,2455.65,107371.46,8,46500.64,2.507627118,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000030,1/1/2018,2018,1,main_harvest,Badulla,LLG2,high_cost_rented_dryer,136.4,67.1,4.16,355.77,2455.65,27446.44,6,4216.24,3.658825746,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000031,1/1/2018,2018,1,main_harvest,Badulla,LB,average_shared_dryer,359,77.6,4.46,214.21,1910.75,36250.33,3,5396.69,1.517692393,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000032,1/1/2018,2018,1,main_harvest,Badulla,LB,average_shared_dryer,79.4,67.3,4.23,206.66,1910.75,12216.38,2,1586.42,2.55438139,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000033,1/1/2018,2018,1,main_harvest,Ratnapura,LG,average_shared_dryer,536.5,70.8,4.65,396.65,2697.42,44221.11,8,43516.48,1.623873709,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000034,1/1/2018,2018,1,main_harvest,Ratnapura,LG,high_cost_rented_dryer,290.2,72.8,4.72,280.97,2697.42,39827.02,2,3998.14,3.185605396,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000035,1/1/2018,2018,1,main_harvest,Ratnapura,LLG1,average_shared_dryer,269,69.3,4.41,382.29,2306.89,42294.48,8,21722.49,5.922262505,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000036,1/1/2018,2018,1,main_harvest,Ratnapura,LLG1,low_cost_owned_dryer,318.2,66.3,4.18,339.64,2306.89,30581.63,2,6587.2,3.779345441,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000037,1/1/2018,2018,1,main_harvest,Ratnapura,LLG2,average_shared_dryer,526.1,55.7,3.7,259.01,2279.42,58702.11,5,38372.49,0.783182107,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000038,1/1/2018,2018,1,main_harvest,Ratnapura,LLG2,average_shared_dryer,94.9,71.9,4.16,300.17,2279.42,10071.14,2,2090.24,3.398814456,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000039,1/1/2018,2018,1,main_harvest,Ratnapura,LB,average_shared_dryer,525.8,73.1,4.1,209.81,1712.35,58979.06,5,28067,3.980767522,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000040,1/1/2018,2018,1,main_harvest,Ratnapura,LB,average_shared_dryer,79.6,70.4,3.96,227.86,1712.35,9390,5,4230.93,2.523292755,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000041,1/1/2018,2018,1,main_harvest,Kegalle,LG,high_cost_rented_dryer,44.5,69.5,4.43,384.74,2992.56,6055.55,3,847.72,1.049425164,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000042,1/1/2018,2018,1,main_harvest,Kegalle,LG,average_shared_dryer,879.7,75.7,4.66,440.58,2992.56,86442.81,6,28119.56,1.023833337,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000043,1/1/2018,2018,1,main_harvest,Kegalle,LLG1,average_shared_dryer,256.4,66.1,4.01,409.03,2616.07,40159.11,3,9863.12,1.631954887,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000044,1/1/2018,2018,1,main_harvest,Kegalle,LLG1,low_cost_owned_dryer,119.8,74.4,4.67,413.27,2616.07,15636.01,6,6117.06,1.548782721,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000045,1/1/2018,2018,1,main_harvest,Kegalle,LLG2,low_cost_owned_dryer,2318.3,68.4,4.02,320.92,2113.02,170529.94,8,195635.05,3.906647152,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000046,1/1/2018,2018,1,main_harvest,Kegalle,LLG2,average_shared_dryer,413.8,58.8,3.7,232.92,2113.02,52966.16,3,14074.5,0.585594985,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000047,1/1/2018,2018,1,main_harvest,Kegalle,LB,high_cost_rented_dryer,174.9,61.6,3.7,315.34,1692.88,30713.93,4,5075.03,2.329679967,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000048,1/1/2018,2018,1,main_harvest,Kegalle,LB,average_shared_dryer,452.8,64.1,3.7,287.23,1692.88,50471.6,5,18514.69,2.096169302,163.25,123.59,72.43,941.32,120.28,87.49
SCN-000049,1/8/2018,2018,1,main_harvest,Kandy,LG,high_cost_rented_dryer,332.6,69.6,4.23,529.23,3090.69,59344.63,8,33901.5,2.004837845,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000050,1/8/2018,2018,1,main_harvest,Kandy,LG,low_cost_owned_dryer,117.6,72.7,4.28,546.52,3090.69,18876.62,4,2829.21,4.042106537,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000051,1/8/2018,2018,1,main_harvest,Kandy,LLG1,average_shared_dryer,1822.7,72.4,4.4,458.16,2930.41,201827.07,8,91820.75,2.283087524,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000052,1/8/2018,2018,1,main_harvest,Kandy,LLG1,average_shared_dryer,136.7,66.8,4.08,435.4,2930.41,21161.72,4,6838.53,0.789234536,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000053,1/8/2018,2018,1,main_harvest,Kandy,LLG2,high_cost_rented_dryer,224.9,64.5,4.18,302.81,2538.85,48723.47,8,17906.86,2.221421065,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000054,1/8/2018,2018,1,main_harvest,Kandy,LLG2,average_shared_dryer,381.3,64.5,4.18,290.9,2538.85,58527.55,2,6418.39,0.47716643,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000055,1/8/2018,2018,1,main_harvest,Kandy,LB,high_cost_rented_dryer,125.9,69,3.94,387.59,2130.81,30127.55,2,2885.32,4.5124162,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000056,1/8/2018,2018,1,main_harvest,Kandy,LB,average_shared_dryer,566.9,61.5,3.7,319.76,2130.81,67880.56,4,24041.13,4.089245609,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000057,1/8/2018,2018,1,main_harvest,Matale,LG,high_cost_rented_dryer,27.6,69.9,4.39,488.66,3250.06,7188.43,2,356.13,2.952578296,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000058,1/8/2018,2018,1,main_harvest,Matale,LG,average_shared_dryer,334.1,66,4.2,447.47,3250.06,42677.46,8,30891.66,1.513715813,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000059,1/8/2018,2018,1,main_harvest,Matale,LLG1,high_cost_rented_dryer,1343.3,71.5,4.34,461.92,2676.49,187310.11,2,24950.36,4.037365861,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000060,1/8/2018,2018,1,main_harvest,Matale,LLG1,high_cost_rented_dryer,602.5,64.8,4.18,490.34,2676.49,88202.67,3,20147.18,2.459083029,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000061,1/8/2018,2018,1,main_harvest,Matale,LLG2,low_cost_owned_dryer,436.5,70.6,3.96,373.56,2417.99,41948.33,8,46970.85,4.357932421,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000062,1/8/2018,2018,1,main_harvest,Matale,LLG2,average_shared_dryer,43.5,67.9,3.99,315.62,2417.99,6339.73,2,739.26,3.574831121,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000063,1/8/2018,2018,1,main_harvest,Matale,LB,low_cost_owned_dryer,544.1,75,4.33,334.61,1848.98,44968.97,8,35978.51,0.728916807,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000064,1/8/2018,2018,1,main_harvest,Matale,LB,high_cost_rented_dryer,173.6,75.6,4.28,278.41,1848.98,37962.31,4,6080.22,4.847361419,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000065,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LG,high_cost_rented_dryer,709.7,77.2,4.85,323.97,3219.42,110588.88,2,8106.14,0.2,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000066,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LG,average_shared_dryer,195,73,4.78,424.85,3219.42,31345.33,6,7554.59,3.097134695,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000067,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,low_cost_owned_dryer,354.8,67,4.36,502.81,3085.42,31704.93,6,10897.14,4.477857992,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000068,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,low_cost_owned_dryer,335.8,68,4.61,429.98,3085.42,31578.45,3,9919.85,1.989704821,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000069,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,average_shared_dryer,143,67.8,3.97,263.93,2457.44,18938.43,5,5135.13,0.2,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000070,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,average_shared_dryer,156.2,65.6,4.04,450.98,2457.44,18522.29,8,6774.09,2.322902023,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000071,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LB,high_cost_rented_dryer,2976.7,59.2,3.7,276.78,1913.08,333296.47,4,161118.13,0.639726664,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000072,1/8/2018,2018,1,main_harvest,Nuwara Eliya,LB,high_cost_rented_dryer,118.7,65.4,3.74,313.74,1913.08,16742.49,4,5940.02,4.535207873,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000073,1/8/2018,2018,1,main_harvest,Badulla,LG,average_shared_dryer,241.4,76.7,4.63,452.97,2766.13,33405.39,3,3693.69,3.02588272,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000074,1/8/2018,2018,1,main_harvest,Badulla,LG,low_cost_owned_dryer,238.3,68.5,4.36,481.76,2766.13,19566.52,2,5878.3,3.698985617,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000075,1/8/2018,2018,1,main_harvest,Badulla,LLG1,high_cost_rented_dryer,440.4,66.6,4,436.49,2658.15,78886.76,4,18913.65,2.6741677,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000076,1/8/2018,2018,1,main_harvest,Badulla,LLG1,low_cost_owned_dryer,77.6,66.2,4.17,553.28,2658.15,8607.41,3,1714.74,3.773946895,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000077,1/8/2018,2018,1,main_harvest,Badulla,LLG2,high_cost_rented_dryer,111.4,71.7,4.28,367.4,2231.8,20266.25,3,3722.24,1.558137858,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000078,1/8/2018,2018,1,main_harvest,Badulla,LLG2,average_shared_dryer,218.1,64.5,4.11,420.57,2231.8,32656.41,4,10237.68,2.989678293,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000079,1/8/2018,2018,1,main_harvest,Badulla,LB,high_cost_rented_dryer,288.9,63.4,3.83,295.34,1997.24,65545.17,3,4600.98,4.22149353,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000080,1/8/2018,2018,1,main_harvest,Badulla,LB,low_cost_owned_dryer,130.6,61.5,3.85,223.03,1997.24,13772.8,4,4133.89,2.240010228,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000081,1/8/2018,2018,1,main_harvest,Ratnapura,LG,average_shared_dryer,3000,72.4,4.31,391.03,2946.21,276756.37,2,29729.2,0.923267648,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000082,1/8/2018,2018,1,main_harvest,Ratnapura,LG,high_cost_rented_dryer,51.6,72.2,4.27,398.63,2946.21,8724.15,2,505.83,1.11459105,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000083,1/8/2018,2018,1,main_harvest,Ratnapura,LLG1,average_shared_dryer,73.4,70.5,4.51,295.29,2496.39,10695.37,6,2646.84,4.062999944,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000084,1/8/2018,2018,1,main_harvest,Ratnapura,LLG1,average_shared_dryer,498.1,64.9,4.23,461.62,2496.39,54735.27,4,16028.8,2.813874138,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000085,1/8/2018,2018,1,main_harvest,Ratnapura,LLG2,low_cost_owned_dryer,70.2,64.2,4.03,399.46,2072.27,6700.36,8,6330.68,4.875991565,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000086,1/8/2018,2018,1,main_harvest,Ratnapura,LLG2,high_cost_rented_dryer,226.8,62.7,3.82,345.24,2072.27,39249.92,3,9496.77,1.562023135,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000087,1/8/2018,2018,1,main_harvest,Ratnapura,LB,low_cost_owned_dryer,40.8,65.5,4.08,239.3,1727.97,7124.16,8,3418.58,2.725623792,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000088,1/8/2018,2018,1,main_harvest,Ratnapura,LB,average_shared_dryer,70.4,66.5,4.28,283.18,1727.97,12117.63,2,1092.81,3.789265483,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000089,1/8/2018,2018,1,main_harvest,Kegalle,LG,average_shared_dryer,895.7,55.3,3.7,356.86,2864.13,100888.4,5,59608.68,3.716154375,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000090,1/8/2018,2018,1,main_harvest,Kegalle,LG,low_cost_owned_dryer,883.7,72.2,4.34,546.65,2864.13,64895.76,2,19859.78,2.439374842,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000091,1/8/2018,2018,1,main_harvest,Kegalle,LLG1,low_cost_owned_dryer,81.5,69.5,4.41,399.17,2618.04,7348.05,3,2671.45,1.786484701,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000092,1/8/2018,2018,1,main_harvest,Kegalle,LLG1,average_shared_dryer,378.7,71.3,4.45,283.82,2618.04,35360.39,4,17367.35,1.896932945,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000093,1/8/2018,2018,1,main_harvest,Kegalle,LLG2,average_shared_dryer,125.9,67.8,4.43,214.59,2124.35,21781.16,4,6148.94,1.757005253,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000094,1/8/2018,2018,1,main_harvest,Kegalle,LLG2,high_cost_rented_dryer,480.6,70.2,4.73,321.72,2124.35,52551.38,3,7442.48,3.172103465,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000095,1/8/2018,2018,1,main_harvest,Kegalle,LB,average_shared_dryer,35.6,72.1,4.45,293.1,1814.64,7779.06,6,2198.42,5.583598362,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000096,1/8/2018,2018,1,main_harvest,Kegalle,LB,low_cost_owned_dryer,281,74.5,4.51,290,1814.64,33139.12,4,11375.71,1.147346621,162.59,120.81,73.25,989.88,113.97,88.41
SCN-000097,1/15/2018,2018,1,main_harvest,Kandy,LG,high_cost_rented_dryer,1008.9,60.3,3.87,347.88,3257.33,174104.09,6,73403.58,1.012104004,163.95,121.54,71.37,974.72,115,93.64
SCN-000098,1/15/2018,2018,1,main_harvest,Kandy,LG,high_cost_rented_dryer,480.6,72,4.4,387,3257.33,79223.3,3,8564.84,2.873733365,163.95,121.54,71.37,974.72,115,93.64
SCN-000099,1/15/2018,2018,1,main_harvest,Kandy,LLG1,low_cost_owned_dryer,207.4,68.7,4.16,370.27,2893.83,23488.28,8,11811.58,0.610754986,163.95,121.54,71.37,974.72,115,93.64
SCN-000100,1/15/2018,2018,1,main_harvest,Kandy,LLG1,average_shared_dryer,106.7,70.1,4.22,426.59,2893.83,17298.05,4,3848.46,3.473541365,163.95,121.54,71.37,974.72,115,93.64
SCN-000101,1/15/2018,2018,1,main_harvest,Kandy,LLG2,low_cost_owned_dryer,40.9,67.1,4.23,457.01,2511.59,4833.89,5,2339.47,4.359610023,163.95,121.54,71.37,974.72,115,93.64
SCN-000102,1/15/2018,2018,1,main_harvest,Kandy,LLG2,low_cost_owned_dryer,147.1,68.8,4.37,447.9,2511.59,21878.93,6,7641.79,2.097479059,163.95,121.54,71.37,974.72,115,93.64
SCN-000103,1/15/2018,2018,1,main_harvest,Kandy,LB,high_cost_rented_dryer,271.8,68.8,4.15,268.86,2018.35,53760.79,2,3509.66,2.919204514,163.95,121.54,71.37,974.72,115,93.64
SCN-000104,1/15/2018,2018,1,main_harvest,Kandy,LB,average_shared_dryer,91.9,71.8,4.3,241.09,2018.35,11478.7,5,5001.83,4.577321584,163.95,121.54,71.37,974.72,115,93.64
SCN-000105,1/15/2018,2018,1,main_harvest,Matale,LG,average_shared_dryer,274.8,71,4.26,434.46,3075.64,36870.54,5,17079.98,1.552743522,163.95,121.54,71.37,974.72,115,93.64
SCN-000106,1/15/2018,2018,1,main_harvest,Matale,LG,average_shared_dryer,283.5,77.8,4.65,385.26,3075.64,30699.95,5,14208.23,2.397043419,163.95,121.54,71.37,974.72,115,93.64
SCN-000107,1/15/2018,2018,1,main_harvest,Matale,LLG1,low_cost_owned_dryer,246.3,68.1,3.97,662.92,2887.61,30304.82,4,9705.47,3.032015617,163.95,121.54,71.37,974.72,115,93.64
SCN-000108,1/15/2018,2018,1,main_harvest,Matale,LLG1,average_shared_dryer,25.7,69.5,4.07,559.52,2887.61,6737.13,5,1623.1,2.552958333,163.95,121.54,71.37,974.72,115,93.64
SCN-000109,1/15/2018,2018,1,main_harvest,Matale,LLG2,average_shared_dryer,277.1,74.5,4.17,393.3,2474.07,31631.97,6,21513.35,5.51265488,163.95,121.54,71.37,974.72,115,93.64
SCN-000110,1/15/2018,2018,1,main_harvest,Matale,LLG2,high_cost_rented_dryer,106.2,68.3,3.96,372.98,2474.07,23286.9,4,5090.62,2.288497534,163.95,121.54,71.37,974.72,115,93.64
SCN-000111,1/15/2018,2018,1,main_harvest,Matale,LB,high_cost_rented_dryer,246.5,62.3,3.82,288.59,1867.04,52093.26,3,5374.03,2.012258153,163.95,121.54,71.37,974.72,115,93.64
SCN-000112,1/15/2018,2018,1,main_harvest,Matale,LB,low_cost_owned_dryer,115.7,74.9,4.41,286.26,1867.04,18944.8,4,5325.3,3.657181828,163.95,121.54,71.37,974.72,115,93.64
SCN-000113,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LG,average_shared_dryer,30.3,64.7,4.19,518.94,3288.97,6788.32,3,851.47,1.636092257,163.95,121.54,71.37,974.72,115,93.64
SCN-000114,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LG,average_shared_dryer,123.4,72.1,4.37,432.65,3288.97,21292.33,5,3623.56,0.2,163.95,121.54,71.37,974.72,115,93.64
SCN-000115,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,high_cost_rented_dryer,121,62.4,4.06,366.03,3017.64,27418.78,4,4758.36,0.945995579,163.95,121.54,71.37,974.72,115,93.64
SCN-000116,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LLG1,high_cost_rented_dryer,446.7,62.7,4.15,311.17,3017.64,105439.31,6,18292.46,3.476974574,163.95,121.54,71.37,974.72,115,93.64
SCN-000117,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,high_cost_rented_dryer,271.3,59.3,3.91,495.32,2510.49,49670.1,6,9864.59,4.585421372,163.95,121.54,71.37,974.72,115,93.64
SCN-000118,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LLG2,low_cost_owned_dryer,158.6,75.2,4.65,388.82,2510.49,18799.03,8,8428.08,1.153651975,163.95,121.54,71.37,974.72,115,93.64
SCN-000119,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LB,average_shared_dryer,149.9,76.5,4.3,286.45,1943.05,15946.48,4,5213.38,2.690659301,163.95,121.54,71.37,974.72,115,93.64
SCN-000120,1/15/2018,2018,1,main_harvest,Nuwara Eliya,LB,average_shared_dryer,372.6,68.7,3.95,245.28,1943.05,55920.91,5,19240.68,1.259342657,163.95,121.54,71.37,974.72,115,93.64
SCN-000121,1/15/2018,2018,1,main_harvest,Badulla,LG,average_shared_dryer,286,74.9,4.71,460.74,2955.57,27231.01,5,6488.79,0.2,163.95,121.54,71.37,974.72,115,93.64
SCN-000122,1/15/2018,2018,1,main_harvest,Badulla,LG,average_shared_dryer,92,68.3,4.52,461.24,2955.57,11335.33,8,3383.1,1.270013378,163.95,121.54,71.37,974.72,115,93.64
SCN-000123,1/15/2018,2018,1,main_harvest,Badulla,LLG1,average_shared_dryer,509.8,62.8,3.7,389.05,2764.79,62387.72,4,16968.81,1.788273765,163.95,121.54,71.37,974.72,115,93.64
SCN-000124,1/15/2018,2018,1,main_harvest,Badulla,LLG1,high_cost_rented_dryer,224.8,62,3.7,467.38,2764.79,46876.63,3,9636.57,2.23233202,163.95,121.54,71.37,974.72,115,93.64
SCN-000125,1/15/2018,2018,1,main_harvest,Badulla,LLG2,high_cost_rented_dryer,52.1,67.5,4.23,333.48,2295.28,10096.34,3,914.4,3.343289287,163.95,121.54,71.37,974.72,115,93.64
