date,year,month,week_of_year,quarter,season,region,production_zone,altitude_m,grade,grade_description,dried_price_lkr_per_kg,fresh_price_lkr_per_kg_est,usd_lkr_rate_est,diesel_price_lkr_litre_est,kerosene_price_lkr_litre_est,labour_cost_lkr_day_est,electricity_price_lkr_kwh_est,rainfall_mm_est,temperature_c_est,humidity_pct_est,production_supply_index_est,global_export_demand_index_est,fuel_drying_cost_lkr_per_dried_kg_est,labour_drying_cost_lkr_per_dried_kg_est,electricity_drying_cost_lkr_per_dried_kg_est,barn_rental_lkr_per_dried_kg_est,packaging_transport_lkr_per_dried_kg_est,total_drying_cost_lkr_per_dried_kg_est,fresh_to_dried_conversion_ratio_est,data_source_class
1/1/2018,2018,1,1,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG1,Lanka Light Green grade 1,2306.89,325.45,163.25,123.59,72.43,941.32,18.96,165.3,22.7,76.5,120.28,87.49,130.93,52.89,55.82,91.05,79.9,410.59,4.19,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG2,Lanka Light Green grade 2,2279.42,338.17,163.25,123.59,72.43,941.32,18.96,165.3,22.7,76.5,120.28,87.49,55.22,48.95,29.76,109,91.22,334.15,3.95,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LB,Lower/brown grade,1712.35,267.43,163.25,123.59,72.43,941.32,18.96,165.3,22.7,76.5,120.28,87.49,49.66,45.06,41.62,111.92,126.39,374.65,3.87,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LG,Lanka Green / premium green pods,2992.56,403.24,163.25,123.59,72.43,941.32,18.96,160.9,24.5,74.6,120.28,87.49,67.72,52.76,53.38,70.54,97.88,342.28,4.33,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG1,Lanka Light Green grade 1,2616.07,375.64,163.25,123.59,72.43,941.32,18.96,160.9,24.5,74.6,120.28,87.49,62.01,44.53,38.4,51.87,137.22,334.03,4.3,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG2,Lanka Light Green grade 2,2113.02,305.49,163.25,123.59,72.43,941.32,18.96,160.9,24.5,74.6,120.28,87.49,94.51,58.36,58.02,52.76,108.93,372.58,4.14,source_calibrated_synthetic
1/1/2018,2018,1,1,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LB,Lower/brown grade,1692.88,268.18,163.25,123.59,72.43,941.32,18.96,160.9,24.5,74.6,120.28,87.49,65.79,58.18,65.53,84.67,63.37,337.54,3.85,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kandy,Central highland,900,LG,Lanka Green / premium green pods,3090.69,483.33,162.59,120.81,73.25,989.88,16.51,129.7,21.6,72.9,113.97,88.41,111.59,47.77,40.49,86.12,118.68,404.65,4.2,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kandy,Central highland,900,LLG1,Lanka Light Green grade 1,2930.41,386.37,162.59,120.81,73.25,989.88,16.51,129.7,21.6,72.9,113.97,88.41,72.06,60.87,42.7,101.67,126.99,404.29,4.18,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kandy,Central highland,900,LLG2,Lanka Light Green grade 2,2538.85,354.82,162.59,120.81,73.25,989.88,16.51,129.7,21.6,72.9,113.97,88.41,92.43,67.75,45.49,82.1,98.28,386.05,4.36,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kandy,Central highland,900,LB,Lower/brown grade,2130.81,324.02,162.59,120.81,73.25,989.88,16.51,129.7,21.6,72.9,113.97,88.41,80.94,65.95,32.92,88.39,104.86,373.06,3.91,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Matale,Central highland,650,LG,Lanka Green / premium green pods,3250.06,462.39,162.59,120.81,73.25,989.88,16.51,97.2,23.1,76.5,113.97,88.41,83.65,64.02,49.98,102,117.82,417.47,4.3,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Matale,Central highland,650,LLG1,Lanka Light Green grade 1,2676.49,380.01,162.59,120.81,73.25,989.88,16.51,97.2,23.1,76.5,113.97,88.41,117.12,59.2,51.48,49.75,100.33,377.88,4.16,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Matale,Central highland,650,LLG2,Lanka Light Green grade 2,2417.99,361.62,162.59,120.81,73.25,989.88,16.51,97.2,23.1,76.5,113.97,88.41,88.21,53.87,57.11,88.56,62.91,350.66,4,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Matale,Central highland,650,LB,Lower/brown grade,1848.98,267.65,162.59,120.81,73.25,989.88,16.51,97.2,23.1,76.5,113.97,88.41,104.87,62.17,40.95,97.16,93.75,398.9,4,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Nuwara Eliya,Central highland,1200,LG,Lanka Green / premium green pods,3219.42,453.19,162.59,120.81,73.25,989.88,16.51,147.1,19.8,74.6,113.97,88.41,78.05,54.36,40.17,110.48,104.28,387.34,4.45,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG1,Lanka Light Green grade 1,3085.42,429.52,162.59,120.81,73.25,989.88,16.51,147.1,19.8,74.6,113.97,88.41,82.31,49.12,33.6,57.28,121.49,343.8,4.58,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG2,Lanka Light Green grade 2,2457.44,351.31,162.59,120.81,73.25,989.88,16.51,147.1,19.8,74.6,113.97,88.41,74.54,50.06,34.29,45.81,133.23,337.93,4.18,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Nuwara Eliya,Central highland,1200,LB,Lower/brown grade,1913.08,292.22,162.59,120.81,73.25,989.88,16.51,147.1,19.8,74.6,113.97,88.41,69.87,49.63,35.62,55.16,73.05,283.33,3.92,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Badulla,Uva highland,750,LG,Lanka Green / premium green pods,2766.13,402.84,162.59,120.81,73.25,989.88,16.51,99.4,22.8,75.3,113.97,88.41,86.63,58.81,56.55,65.1,65.24,332.33,4.25,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Badulla,Uva highland,750,LLG1,Lanka Light Green grade 1,2658.15,388.39,162.59,120.81,73.25,989.88,16.51,99.4,22.8,75.3,113.97,88.41,108.11,65.84,51.35,95.14,75.33,395.77,4.11,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Badulla,Uva highland,750,LLG2,Lanka Light Green grade 2,2231.8,302.3,162.59,120.81,73.25,989.88,16.51,99.4,22.8,75.3,113.97,88.41,89.3,50.32,53.64,86.64,74.88,354.78,4.18,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Badulla,Uva highland,750,LB,Lower/brown grade,1997.24,302.49,162.59,120.81,73.25,989.88,16.51,99.4,22.8,75.3,113.97,88.41,101.28,66.73,44.74,63.93,76.66,353.34,4.08,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LG,Lanka Green / premium green pods,2946.21,387.07,162.59,120.81,73.25,989.88,16.51,232.5,23.9,75.4,113.97,88.41,78.41,48.16,46.18,87.26,123.61,383.62,4.11,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG1,Lanka Light Green grade 1,2496.39,360.81,162.59,120.81,73.25,989.88,16.51,232.5,23.9,75.4,113.97,88.41,115.37,47.57,35.57,80.19,67.44,346.14,4.27,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG2,Lanka Light Green grade 2,2072.27,278.41,162.59,120.81,73.25,989.88,16.51,232.5,23.9,75.4,113.97,88.41,114.29,52.02,30.22,78.27,103.25,378.05,4.13,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LB,Lower/brown grade,1727.97,241.26,162.59,120.81,73.25,989.88,16.51,232.5,23.9,75.4,113.97,88.41,106.94,45.89,45.6,70.15,80.86,349.44,4.18,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LG,Lanka Green / premium green pods,2864.13,386.89,162.59,120.81,73.25,989.88,16.51,153.2,23.8,74.1,113.97,88.41,78.69,47.08,48.79,81.8,73.84,330.2,4.24,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG1,Lanka Light Green grade 1,2618.04,345.43,162.59,120.81,73.25,989.88,16.51,153.2,23.8,74.1,113.97,88.41,99.86,58.06,44.18,85.51,99.62,387.23,4.31,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG2,Lanka Light Green grade 2,2124.35,277.31,162.59,120.81,73.25,989.88,16.51,153.2,23.8,74.1,113.97,88.41,76.54,57.76,48.99,98.33,64.89,346.51,4.5,source_calibrated_synthetic
1/8/2018,2018,1,2,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LB,Lower/brown grade,1814.64,283.29,162.59,120.81,73.25,989.88,16.51,153.2,23.8,74.1,113.97,88.41,84.55,45.24,47.52,106.02,129.39,412.72,4.22,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kandy,Central highland,900,LG,Lanka Green / premium green pods,3257.33,448.65,163.95,121.54,71.37,974.72,18.17,140.3,22.3,67.5,115,93.64,54.12,68.06,61.94,106.22,90.47,380.81,4.22,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kandy,Central highland,900,LLG1,Lanka Light Green grade 1,2893.83,366.93,163.95,121.54,71.37,974.72,18.17,140.3,22.3,67.5,115,93.64,93.35,50.31,54.6,93.24,78.43,369.93,4.15,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kandy,Central highland,900,LLG2,Lanka Light Green grade 2,2511.59,374.97,163.95,121.54,71.37,974.72,18.17,140.3,22.3,67.5,115,93.64,65.31,58.98,38.75,98.78,124.13,385.95,4.34,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kandy,Central highland,900,LB,Lower/brown grade,2018.35,285.73,163.95,121.54,71.37,974.72,18.17,140.3,22.3,67.5,115,93.64,76.86,64.89,48.03,119.97,115.31,425.06,4.1,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Matale,Central highland,650,LG,Lanka Green / premium green pods,3075.64,404.99,163.95,121.54,71.37,974.72,18.17,142.8,22.3,72.5,115,93.64,77.98,54.19,55.13,101.05,92.01,380.36,4.17,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Matale,Central highland,650,LLG1,Lanka Light Green grade 1,2887.61,447.9,163.95,121.54,71.37,974.72,18.17,142.8,22.3,72.5,115,93.64,69.84,55.63,47.66,115.42,82.7,371.25,4.04,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Matale,Central highland,650,LLG2,Lanka Light Green grade 2,2474.07,374.93,163.95,121.54,71.37,974.72,18.17,142.8,22.3,72.5,115,93.64,53.64,63.84,30.41,50.65,128.82,327.36,3.98,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Matale,Central highland,650,LB,Lower/brown grade,1867.04,263.86,163.95,121.54,71.37,974.72,18.17,142.8,22.3,72.5,115,93.64,106.78,58.44,55.68,83.17,91.81,395.88,4.04,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Nuwara Eliya,Central highland,1200,LG,Lanka Green / premium green pods,3288.97,467.83,163.95,121.54,71.37,974.72,18.17,122.3,20.2,76.1,115,93.64,69.93,66.75,34.86,54.64,138.96,365.14,4.22,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG1,Lanka Light Green grade 1,3017.64,366.53,163.95,121.54,71.37,974.72,18.17,122.3,20.2,76.1,115,93.64,119.71,59.14,36.81,97.83,143.51,457,4.3,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG2,Lanka Light Green grade 2,2510.49,353.46,163.95,121.54,71.37,974.72,18.17,122.3,20.2,76.1,115,93.64,101.95,61.49,37.93,59.45,85.28,346.1,4.23,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Nuwara Eliya,Central highland,1200,LB,Lower/brown grade,1943.05,262.28,163.95,121.54,71.37,974.72,18.17,122.3,20.2,76.1,115,93.64,122.08,65.64,44.69,54.83,122.44,409.68,3.96,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Badulla,Uva highland,750,LG,Lanka Green / premium green pods,2955.57,395.5,163.95,121.54,71.37,974.72,18.17,89.2,21.6,70,115,93.64,72.77,51.43,60.21,92.72,100.38,377.51,4.52,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Badulla,Uva highland,750,LLG1,Lanka Light Green grade 1,2764.79,415.93,163.95,121.54,71.37,974.72,18.17,89.2,21.6,70,115,93.64,70.9,67.35,33.76,54.87,114.7,341.58,3.88,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Badulla,Uva highland,750,LLG2,Lanka Light Green grade 2,2295.28,312.76,163.95,121.54,71.37,974.72,18.17,89.2,21.6,70,115,93.64,94.24,50.17,61.28,82.82,79.04,367.55,4.19,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Badulla,Uva highland,750,LB,Lower/brown grade,1776.9,286.7,163.95,121.54,71.37,974.72,18.17,89.2,21.6,70,115,93.64,81.26,62.2,34.6,76.62,111.61,366.29,3.97,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LG,Lanka Green / premium green pods,2902.03,384.93,163.95,121.54,71.37,974.72,18.17,158.4,23.2,73.8,115,93.64,83.92,48.21,43.81,55.19,97.23,328.36,4.28,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG1,Lanka Light Green grade 1,2412.11,393.42,163.95,121.54,71.37,974.72,18.17,158.4,23.2,73.8,115,93.64,81.62,59.93,63.14,86.11,77.55,368.35,3.85,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG2,Lanka Light Green grade 2,2026.1,291.23,163.95,121.54,71.37,974.72,18.17,158.4,23.2,73.8,115,93.64,84.69,53.37,37.26,112.19,77.33,364.84,3.96,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LB,Lower/brown grade,1797.79,245.27,163.95,121.54,71.37,974.72,18.17,158.4,23.2,73.8,115,93.64,56.44,44.4,42.86,110.54,124.63,378.87,3.97,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LG,Lanka Green / premium green pods,2941.42,483.02,163.95,121.54,71.37,974.72,18.17,136.2,22.2,72,115,93.64,112.28,51.55,40.46,90.24,67.62,362.15,3.88,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG1,Lanka Light Green grade 1,2702.99,423.42,163.95,121.54,71.37,974.72,18.17,136.2,22.2,72,115,93.64,57.84,55.97,47.42,69.29,135.04,365.56,3.97,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LLG2,Lanka Light Green grade 2,2098.92,304.77,163.95,121.54,71.37,974.72,18.17,136.2,22.2,72,115,93.64,75.97,64.8,34.71,75.91,105.2,356.59,4.02,source_calibrated_synthetic
1/15/2018,2018,1,3,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LB,Lower/brown grade,1841.87,285.63,163.95,121.54,71.37,974.72,18.17,136.2,22.2,72,115,93.64,102.03,64.68,50.97,98.17,81.02,396.87,4.04,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Kandy,Central highland,900,LG,Lanka Green / premium green pods,3247.2,484.64,162.05,121.74,71.75,998.97,18.03,129.3,21.4,76.5,121.28,87.28,74.42,65.08,29.16,52.76,124.05,345.47,4.01,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Kandy,Central highland,900,LLG1,Lanka Light Green grade 1,2828.57,442.43,162.05,121.74,71.75,998.97,18.03,129.3,21.4,76.5,121.28,87.28,107.07,52.36,49.65,105.88,129.29,444.25,4.12,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Kandy,Central highland,900,LLG2,Lanka Light Green grade 2,2400.11,336.83,162.05,121.74,71.75,998.97,18.03,129.3,21.4,76.5,121.28,87.28,58.93,48.1,42.22,105.12,124.18,378.55,4.25,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Kandy,Central highland,900,LB,Lower/brown grade,1973.32,274.58,162.05,121.74,71.75,998.97,18.03,129.3,21.4,76.5,121.28,87.28,89.07,55.5,41.11,105.09,69.21,359.98,4.31,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Matale,Central highland,650,LG,Lanka Green / premium green pods,3164.42,416.16,162.05,121.74,71.75,998.97,18.03,105.2,23,78.3,121.28,87.28,57.3,71,39.22,113.87,90.71,372.1,4.45,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Matale,Central highland,650,LLG1,Lanka Light Green grade 1,2825.34,413.68,162.05,121.74,71.75,998.97,18.03,105.2,23,78.3,121.28,87.28,79.76,45.85,34.43,104.57,71.36,335.97,4.11,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Matale,Central highland,650,LLG2,Lanka Light Green grade 2,2424,315.31,162.05,121.74,71.75,998.97,18.03,105.2,23,78.3,121.28,87.28,63.71,47.17,59.87,60.61,69.41,300.77,4.22,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Matale,Central highland,650,LB,Lower/brown grade,2070.23,295.98,162.05,121.74,71.75,998.97,18.03,105.2,23,78.3,121.28,87.28,64.37,54.08,33,85.08,108.53,345.06,4.22,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Nuwara Eliya,Central highland,1200,LG,Lanka Green / premium green pods,3186.3,485.76,162.05,121.74,71.75,998.97,18.03,127.8,20.1,72.5,121.28,87.28,81.39,51.22,61.22,66.3,121.06,381.19,4.03,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG1,Lanka Light Green grade 1,3034.72,434.57,162.05,121.74,71.75,998.97,18.03,127.8,20.1,72.5,121.28,87.28,91.76,46.29,29.01,103.98,111.94,382.98,3.94,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Nuwara Eliya,Central highland,1200,LLG2,Lanka Light Green grade 2,2581.58,387.27,162.05,121.74,71.75,998.97,18.03,127.8,20.1,72.5,121.28,87.28,56.9,47.27,44.16,102.49,80.12,330.94,4.01,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Nuwara Eliya,Central highland,1200,LB,Lower/brown grade,1967.52,256.66,162.05,121.74,71.75,998.97,18.03,127.8,20.1,72.5,121.28,87.28,69.94,55.32,54.87,104.74,67.68,352.55,4.32,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Badulla,Uva highland,750,LG,Lanka Green / premium green pods,2932.49,363.32,162.05,121.74,71.75,998.97,18.03,115.5,22.7,75,121.28,87.28,54.06,62.58,42.77,119.22,121.11,399.74,4.44,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Badulla,Uva highland,750,LLG1,Lanka Light Green grade 1,2487.87,334.22,162.05,121.74,71.75,998.97,18.03,115.5,22.7,75,121.28,87.28,89.37,55.5,58.6,92.68,117.71,413.86,4.25,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Badulla,Uva highland,750,LLG2,Lanka Light Green grade 2,2312.1,352.07,162.05,121.74,71.75,998.97,18.03,115.5,22.7,75,121.28,87.28,100.65,50.45,38.43,66.32,127.17,383.02,4.12,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Badulla,Uva highland,750,LB,Lower/brown grade,1827.69,256.43,162.05,121.74,71.75,998.97,18.03,115.5,22.7,75,121.28,87.28,114.37,57.84,53.9,54.04,138.38,418.53,4.1,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LG,Lanka Green / premium green pods,2687.42,380.26,162.05,121.74,71.75,998.97,18.03,142.7,23.8,68.7,121.28,87.28,91.23,70.83,48.1,72.97,78.63,361.76,4.05,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG1,Lanka Light Green grade 1,2508.6,325.79,162.05,121.74,71.75,998.97,18.03,142.7,23.8,68.7,121.28,87.28,67.44,64.79,29.4,55.22,82.58,299.43,3.85,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LLG2,Lanka Light Green grade 2,2293.63,359.27,162.05,121.74,71.75,998.97,18.03,142.7,23.8,68.7,121.28,87.28,82.99,56.62,36.25,81.19,69.98,327.03,3.91,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Ratnapura,Sabaragamuwa wet zone,450,LB,Lower/brown grade,1730.78,251.55,162.05,121.74,71.75,998.97,18.03,142.7,23.8,68.7,121.28,87.28,99.05,66.64,58.45,57.76,141.7,423.6,4.34,source_calibrated_synthetic
1/22/2018,2018,1,4,1,main_harvest,Kegalle,Sabaragamuwa wet zone,500,LG,Lanka Green / premium green pods,2932.77,386.67,162.05,121.74,71.75,998.97,18.03,210.5,22.3,74.7,121.28,87.28,99.27,47.75,52.14,79.75,120.49,399.4,4.43,source_calibrated_synthetic
